Date,Time,Appliance,Energy_Consumption,Room,Status
2022-01-01,00:00,Refrigerator,1.2,Kitchen,On
2022-01-01,01:00,Refrigerator,1.2,Kitchen,On
2022-01-01,02:00,Refrigerator,1.2,Kitchen,On
2022-01-01,03:00,Refrigerator,1.2,Kitchen,On
2022-01-01,04:00,Refrigerator,1.2,Kitchen,On
2022-01-01,05:00,Refrigerator,1.2,Kitchen,On
2022-01-01,06:00,Refrigerator,1.2,Kitchen,On
2022-01-01,07:00,Refrigerator,1.2,Kitchen,On
2022-01-01,08:00,Refrigerator,1.2,Kitchen,On
2022-01-01,09:00,Refrigerator,1.2,Kitchen,On
2022-01-01,10:00,Refrigerator,1.2,Kitchen,On
2022-01-01,11:00,Refrigerator,1.2,Kitchen,On
2022-01-01,12:00,Refrigerator,1.2,Kitchen,On
2022-01-01,13:00,Refrigerator,1.2,Kitchen,On
2022-01-01,14:00,Refrigerator,1.2,Kitchen,On
2022-01-01,15:00,Refrigerator,1.2,Kitchen,On
2022-01-01,16:00,Refrigerator,1.2,Kitchen,On
2022-01-01,17:00,Refrigerator,1.2,Kitchen,On
2022-01-01,18:00,Refrigerator,1.2,Kitchen,On
2022-01-01,19:00,Refrigerator,1.2,Kitchen,On
2022-01-01,20:00,Refrigerator,1.2,Kitchen,On
2022-01-01,21:00,Refrigerator,1.2,Kitchen,On
2022-01-01,22:00,Refrigerator,1.2,Kitchen,On
2022-01-01,23:00,Refrigerator,1.2,Kitchen,On
2022-01-01,08:00,TV,0.8,Living Room,Off
2022-01-01,09:00,TV,0.8,Living Room,On
2022-01-01,10:00,TV,0.8,Living Room,On
2022-01-01,11:00,TV,0.8,Living Room,On
2022-01-01,12:00,TV,0.8,Living Room,Off
